product_code,name,category,is_active
10066,獺祭　発泡にごり生酒 50　720ml,日本酒,False
10067,天狗舞　大吟醸　吟こうぶり（箱入　720ml,日本酒,False
10068,天狗舞　古古酒　純米大吟醸（箱入　720ml,日本酒,False
10069,出羽桜　一路　純米大吟醸　720ml,日本酒,True
10070,鉄砲隊　吟醸　近江玉栄　58％　720ml,日本酒,False
10071,鉄砲隊 純米吟醸 山田錦 720ml,日本酒,True
10072,鉄砲隊　純米吟醸　播州山田　55％　720ml,日本酒,False
10073,松の司 純米吟醸 あらばしり 生 720ml,日本酒,True
10074,松の司 純米吟醸 みずき 720ml,日本酒,False
10075,松の司　純米大吟醸　JAL Original 720ml,日本酒,False
10076,松の司 純米大吟醸 陶酔（箱入） 720ml,日本酒,False
10077,松の司 純米吟醸 楽 720ml,日本酒,True
10078,松の司 大吟醸純米 黒ラベル（箱 720ml,日本酒,True
10079,松の司　大吟醸純米　古々酒　１９８９年,日本酒,False
10080,松の司 純米大吟醸 竜王山田錦 林 720ml,日本酒,False
10081,松の司　純米吟醸アゾラ（生酒）　720ml,日本酒,False
10082,松の司　純米吟醸　ひやおろし　720ml,日本酒,False
10083,松の司 純米大吟醸 雄町 720ml,日本酒,False
10084,龍神丸　大吟醸　生原酒　720ml,日本酒,True
10085,龍神丸　純米吟醸　生原酒　720ml,日本酒,True
10086,龍神丸　純米　生原酒　720ml,日本酒,True
10087,龍神丸　吟醸　生原酒　720ml,日本酒,True
10088,龍神丸　純米　生原酒　300ml,日本酒,False
10089,松の司　大吟醸　雄町50％　1.8L,日本酒,False
10090,松の司　純米吟醸　中取り　1.8L,日本酒,False
10091,松の司　純米大吟醸　2002ｽﾍﾟｼｬﾙ　720ml,日本酒,False
10092,鉄砲隊　純米吟醸　近江玉栄58%　1.8L,日本酒,False
10093,鉄砲隊　純米吟醸　近江玉栄58%　720ml,日本酒,False
10094,獺祭　遠心分離三割九分　箱入　720ml,日本酒,False
10095,獺祭　遠心分離　純米吟醸　50%　720ml,日本酒,False
10096,獺祭　遠心分離三割九分　箱入　1.8L,日本酒,False
10097,獺祭　純米大吟醸　45　720ml,日本酒,True
10098,獺祭　遠心分離二割三分　箱入　720ml,日本酒,True
10099,黒牛　環山　純米大吟醸（箱入）　1.8L,日本酒,True
10100,黒牛　環山　純米大吟醸（箱入）　720ml,日本酒,True
10101,碧山　黒牛　純米吟醸（箱入）　1.8L,日本酒,True
10102,碧山　黒牛　純米吟醸（箱入）　720ml,日本酒,True
10103,松の司　出品大吟醸（箱入）　720ml,日本酒,False
