"","","10062","獺祭　純米吟醸　50％　720ml","本","","標","0","0","0","0","0","1035","0","20190323","20190328",
"","","10063","獺際　純米吟醸　原酒　45　720ml（終売）","本","","標","0","0","0","0","0","1359","0","","",
"","","10064","獺祭　純米大吟醸　三割九分　720ml","本","","標","24","96","100","0","20","1680","33600","20230424","20230429",
"","","10065","獺祭　純米大吟醸二割三分（ｶｰﾄﾝ無　720ml","本","","標","16","72","88","0","0","3250","0","20230424","20230428",
"","","10066","獺祭　発泡にごり生酒 50　720ml","本","","標","0","0","0","0","0","1280","0","20190321","20190520",
"","","10067","天狗舞　大吟醸　吟こうぶり（箱入　720ml","本","","標","0","0","0","0","0","8000","0","20171215","20190520",
"","","10068","天狗舞　古古酒　純米大吟醸（箱入　720ml","本","","標","0","0","0","0","0","4000","0","20190426","20190516",
"","","10069","出羽桜　一路　純米大吟醸　720ml","本","","標","2","0","1","0","1","2400","2400","20221105","20230423",
"","","10070","鉄砲隊　吟醸　近江玉栄　58％　720ml","本","","標","0","0","0","0","0","815","0","","",
"","","10071","鉄砲隊 純米吟醸 山田錦 720ml","本","","標","14","0","3","0","11","971","10681","20230323","20230429",
"","","10072","鉄砲隊　純米吟醸　播州山田　55％　720ml","本","","標","0","0","0","0","0","995","0","","20221104",
"","","10073","松の司 純米吟醸 あらばしり 生 720ml","本","","標","0","0","0","0","0","1425","0","20221221","20230116",
"","","10074","松の司 純米吟醸 みずき 720ml","本","","標","0","0","0","0","0","1320","0","","",
"","","10075","松の司　純米大吟醸　JAL Original 720ml","本","","標","0","0","0","0","0","1334","0","20211115","20211115",
"","","10076","松の司 純米大吟醸 陶酔（箱入） 720ml","本","","標","0","0","0","0","0","2100","0","20191024","20200222",
"","","10077","松の司 純米吟醸 楽 720ml","本","","標","0","12","0","0","12","1125","13500","20230424","20211228",
"","","10078","松の司 大吟醸純米 黒ラベル（箱 720ml","本","","標","8","12","8","0","12","3750","45000","20230424","20230423",
"","","10079","松の司　大吟醸純米　古々酒　１９８９年","本","","標","0","0","0","0","0","3750","0","","",
"","","10080","松の司 純米大吟醸 竜王山田錦 林 720ml","本","","標","0","0","0","0","0","1687","0","20180402","20181224",
"","","10081","松の司　純米吟醸アゾラ（生酒）　720ml","本","","標","0","0","0","0","0","1687","0","","20150327",
"","","10082","松の司　純米吟醸　ひやおろし　720ml","本","","標","0","0","0","0","0","1275","0","20150826","20160530",
"","","10083","松の司 純米大吟醸 雄町 720ml","本","","標","27","0","3","0","24","1650","39600","20220808","20230422",
"","","10084","龍神丸　大吟醸　生原酒　720ml","本","","標","3","36","34","0","5","1820","9100","20230414","20230428",
"","","10085","龍神丸　純米吟醸　生原酒　720ml","本","","標","18","0","2","0","16","1268","20288","20230310","20230408",
"","","10086","龍神丸　純米　生原酒　720ml","本","","標","15","36","28","0","23","877","20171","20230414","20230416",
"","","10087","龍神丸　吟醸　生原酒　720ml","本","","標","0","36","27","0","9","877","7893","20230414","20230416",
"","","10088","龍神丸　純米　生原酒　300ml","本","","標","0","0","0","0","0","348","0","","",
"","","10089","松の司　大吟醸　雄町50％　1.8L","本","","標","0","0","0","0","0","2700","0","","",
"","","10090","松の司　純米吟醸　中取り　1.8L","本","","標","0","0","0","0","0","2550","0","20151127","20151207",
"","","10091","松の司　純米大吟醸　2002ｽﾍﾟｼｬﾙ　720ml","本","","標","0","0","0","0","0","6000","0","","",
"","","10092","鉄砲隊　純米吟醸　近江玉栄58%　1.8L","本","","標","0","0","0","0","0","1750","0","","",
"","","10093","鉄砲隊　純米吟醸　近江玉栄58%　720ml","本","","標","0","0","0","0","0","876","0","","",
"","","10094","獺祭　遠心分離三割九分　箱入　720ml","本","","標","0","0","0","0","0","2524","0","20220204","20220223",
"","","10095","獺祭　遠心分離　純米吟醸　50%　720ml","本","","標","0","0","0","0","0","1120","0","","",
"","","10096","獺祭　遠心分離三割九分　箱入　1.8L","本","","標","0","0","0","0","0","5047","0","20220204","20220413",
"","","10097","獺祭　純米大吟醸　45　720ml","本","","標","48","120","168","0","0","1221","0","20230424","20230424",
"","","10098","獺祭　遠心分離二割三分　箱入　720ml","本","","標","0","9","3","0","6","9750","58500","20230420","20230414",
"","","10099","黒牛　環山　純米大吟醸（箱入）　1.8L","本","","標","3","0","1","0","2","3650","7300","20230314","20230429",
"","","10100","黒牛　環山　純米大吟醸（箱入）　720ml","本","","標","8","12","15","0","5","1825","9125","20230413","20230429",
"","","10101","碧山　黒牛　純米吟醸（箱入）　1.8L","本","","標","4","0","0","0","4","2227","8908","20221229","20230324",
"","","10102","碧山　黒牛　純米吟醸（箱入）　720ml","本","","標","8","0","3","0","5","1095","5475","20230331","20230429",
"","","10103","松の司　出品大吟醸（箱入）　720ml","本","","標","0","0","0","0","0","2625","0","20170616","20170811",
"","","10104","松の司　出品大吟醸（箱入）　1.8L","本","","標","0","0","0","0","0","5250","0","20160610","20161203",
"","","10105","喜楽里　純米　原酒　1.8L","本","","標","0","0","0","0","0","1875","0","20170516","20190604",
"","","10106","喜楽里　純米　原酒　720ml","本","","標","0","0","0","0","0","937","0","20141007","20170622",
"","","10107","松の司　大吟醸純米（箱入）　1.8L","本","","標","0","0","0","0","0","4732","0","","20151222",
"","","10108","睡龍　生もと　純米吟醸　1.8L","本","","標","0","0","0","0","0","3400","0","","20150716",
"","","10109","睡龍　生もと　純米吟醸　720ml","本","","標","0","0","0","0","0","1700","0","","20150218",
"","","10110","睡龍　生もと　純米　1.8L","本","","標","0","0","0","0","0","2220","0","20161208","20171216",
"","","10111","睡龍　生もと　純米　720ml","本","","標","0","0","0","0","0","1110","0","20170221","20171006",
"","","10112","睡龍　生もとのどぶ　火入　1.8L","本","","標","9","18","12","0","15","2360","35400","20230417","20230424",
