product_code,name,category,is_active
10149,松の司　純米吟醸　竜王渡舟　1.8L,日本酒,FALSE
10150,松の司　純米吟醸　竜王渡舟　720ml,日本酒,FALSE
10151,上喜元　純米吟醸　山田錦　720ml,日本酒,FALSE
10152,上喜元　吟醸　生詰　1.8L,日本酒,FALSE
10153,上喜元　特別純米　からくち　1.8L,日本酒,FALSE
10154,上喜元　純米吟醸　亀の尾　1.8L,日本酒,FALSE
10155,上喜元　純米吟醸　山田錦　1.8L,日本酒,FALSE
10156,黒龍　大吟醸　龍（箱入）　1.8L,日本酒,TRUE
10157,黒龍　大吟醸　龍（箱入）　720ml,日本酒,TRUE
10158,黒龍　大吟醸（箱入）　1.8L,日本酒,TRUE
10159,黒龍　大吟醸（箱入）　720ml,日本酒,TRUE
10160,黒龍　特吟　1.8L,日本酒,FALSE
10161,黒龍　特吟　720ml,日本酒,FALSE
10162,黒龍　純吟　1.8L,日本酒,TRUE
10163,黒龍　純吟　720ml,日本酒,TRUE
10164,黒龍　いっちょらい　1.8L,日本酒,TRUE
10165,黒龍　いっちょらい　720ml,日本酒,TRUE
10166,黒龍　本醸造　1.8L,日本酒,FALSE
10167,九頭龍　逸品　1.8L,日本酒,TRUE
10168,黒龍　春しぼり　1.8L,日本酒,TRUE
10169,黒龍　春しぼり　720ml,日本酒,TRUE
10170,上喜元　超辛純米吟醸　完全発酵　1.8L,日本酒,TRUE
10171,黒龍 福ボトル 720ml,日本酒,TRUE
10172,黒龍　大吟醸　しずく　720ml,日本酒,TRUE
10173,大那　特別純米　那須玉苗　1.8L,日本酒,FALSE
10174,大那　純米吟醸　那須五百万石　生　720ml,日本酒,FALSE
10175,大那　純米吟醸　那須五百万石　生　1.8L,日本酒,FALSE
10176,睡龍　生もとのどぶ　生原酒　1.8L,日本酒,FALSE
10177,睡龍　生もとのどぶ　火入　720ml,日本酒,FALSE
10178,睡龍　生もと　純米　1.8L　1995年,日本酒,FALSE
10179,上喜元　純米吟醸　亀の尾　720ml,日本酒,FALSE
10180,黒龍　吟のとびら　150ml,日本酒,TRUE
10181,紀土　純米吟醸　1.8L,日本酒,TRUE
10182,紀土　純米　1.8L,日本酒,TRUE
10183,黒龍 秋あがり 1.8L,日本酒,FALSE
10184,黒龍 秋あがり 720ml,日本酒,FALSE
10185,九頭龍　純米　1.8L,日本酒,TRUE
10186,九頭龍　大吟醸燗酒（箱入）　1.8L,日本酒,TRUE
10187,九頭龍　大吟醸燗酒（箱入）　720ml,日本酒,TRUE
10188,紀土　純米吟醸　720ml,日本酒,TRUE
10189,上喜元　もち米四段仕込み　純米　1.8L,日本酒,FALSE
10190,松の司　大吟醸純米　しずく　1.8L,日本酒,FALSE
10191,黒龍　石田屋　720ml,日本酒,TRUE
10192,黒龍　二左衛門　720ml,日本酒,TRUE
10193,黒龍　八十八号　720ml,日本酒,TRUE
10194,黒龍　大吟醸　しずく　1.8L,日本酒,TRUE
10195,松の司 生もと純米 1.8L,日本酒,TRUE
10196,九頭龍　垂れ口　1.8L,日本酒,TRUE
10197,九頭龍　垂れ口　720ml,日本酒,TRUE
10198,黒龍 純米大吟醸 720ml,日本酒,TRUE
10199,澤屋まつもと　RISSIMO　2016　720ml,日本酒,FALSE
10200,桃の滴　ＲＩＳＳＩＭＯ　360ml,日本酒,FALSE
10201,黒龍　純吟垂れ口　1.8L,日本酒,TRUE
10202,黒龍　純吟垂れ口　720ml,日本酒,TRUE
10203,松の司 生もと純米生原酒 1.8L,日本酒,FALSE
10204,松の司　生もと純米　生原酒　720ml,日本酒,FALSE
10205,黒龍　火いら寿　720ml,日本酒,TRUE
10206,日高見　純米吟醸　1.8L,日本酒,FALSE
10207,日高見　山田錦　中取り純米　生　1.8L,日本酒,FALSE
10208,日高見　山田錦　純米　1.8L,日本酒,FALSE
10209,日高見　天竺純米吟醸　短稈渡船　生　1.8L,日本酒,FALSE
10210,日高見　天竺　純米吟醸　愛山　火入　1.8L,日本酒,FALSE
10211,日高見　天竺　純米吟醸　山田穂　生　1.8L,日本酒,FALSE
